Time_Step,Precipitation_mm,Evapotranspiration_mm,Runoff_mm,Storage_Change_mm
32,14.310344827586206,0.3,5.724137931034483,8.286206896551722
33,13.96551724137931,0.3,5.586206896551724,8.079310344827585
34,13.620689655172413,0.3,5.448275862068965,7.872413793103447
35,13.275862068965518,0.3,5.310344827586207,7.66551724137931
36,12.931034482758621,0.3,5.172413793103448,7.458620689655172
37,12.586206896551724,0.3,5.03448275862069,7.251724137931033
38,12.241379310344827,0.3,4.8965517241379315,7.044827586206895
39,11.89655172413793,0.3,4.758620689655173,6.837931034482757
40,11.551724137931034,0.3,4.620689655172414,6.631034482758619
41,11.206896551724139,0.3,4.482758620689656,6.424137931034482
42,10.862068965517242,0.3,4.344827586206897,6.2172413793103445
43,10.517241379310345,0.3,4.206896551724138,6.010344827586207
44,10.172413793103448,0.3,4.06896551724138,5.803448275862068
45,9.827586206896552,0.3,3.931034482758621,5.59655172413793
46,9.482758620689655,0.3,3.793103448275862,5.389655172413792
47,9.137931034482758,0.3,3.655172413793103,5.182758620689654
48,8.793103448275861,0.3,3.5172413793103448,4.975862068965515
49,8.448275862068964,0.3,3.379310344827586,4.768965517241378
50,8.103448275862068,0.3,3.2413793103448274,4.56206896551724
51,7.758620689655172,0.3,3.103448275862069,4.3551724137931025
52,7.413793103448276,0.3,2.9655172413793105,4.1482758620689655
53,7.068965517241379,0.3,2.8275862068965516,3.9413793103448276
54,6.724137931034482,0.3,2.689655172413793,3.7344827586206892
55,6.379310344827585,0.3,2.5517241379310343,3.5275862068965513
56,6.034482758620689,0.3,2.413793103448276,3.320689655172413
57,5.689655172413792,0.3,2.275862068965517,3.113793103448275
58,5.344827586206897,0.3,2.137931034482759,2.906896551724138
59,5.0,0.3,2.0,2.7
60,5.0,0.3,2.0,2.7
61,4.862068965517241,0.3,1.9448275862068964,2.617241379310345
62,4.724137931034483,0.3,1.8896551724137933,2.53448275862069
63,4.586206896551724,0.3,1.8344827586206898,2.4517241379310346
64,4.448275862068965,0.3,1.7793103448275862,2.3689655172413793
65,4.310344827586206,0.3,1.7241379310344827,2.286206896551724
66,4.172413793103448,0.3,1.6689655172413795,2.203448275862069
67,4.0344827586206895,0.3,1.613793103448276,2.1206896551724137
68,3.896551724137931,0.3,1.5586206896551724,2.037931034482759
69,3.7586206896551726,0.3,1.503448275862069,1.9551724137931037
70,3.6206896551724137,0.3,1.4482758620689655,1.8724137931034484
71,3.4827586206896552,0.3,1.3931034482758622,1.7896551724137932
72,3.344827586206897,0.3,1.3379310344827589,1.7068965517241381
73,3.206896551724138,0.3,1.2827586206896553,1.6241379310344828
74,3.0689655172413794,0.3,1.227586206896552,1.5413793103448277
75,2.9310344827586206,0.3,1.1724137931034482,1.4586206896551726
76,2.793103448275862,0.3,1.1172413793103448,1.3758620689655174
77,2.6551724137931036,0.3,1.0620689655172415,1.2931034482758623
78,2.5172413793103448,0.3,1.006896551724138,1.210344827586207
79,2.3793103448275863,0.3,0.9517241379310346,1.1275862068965519
80,2.2413793103448274,0.3,0.896551724137931,1.0448275862068963
81,2.103448275862069,0.3,0.8413793103448276,0.9620689655172413
82,1.9655172413793105,0.3,0.7862068965517243,0.8793103448275862
83,1.8275862068965516,0.3,0.7310344827586207,0.7965517241379308
84,1.6896551724137931,0.3,0.6758620689655173,0.7137931034482758
85,1.5517241379310347,0.3,0.6206896551724139,0.6310344827586207
86,1.4137931034482758,0.3,0.5655172413793104,0.5482758620689654
87,1.2758620689655173,0.3,0.5103448275862069,0.4655172413793104
88,1.137931034482759,0.3,0.4551724137931036,0.38275862068965527
89,1.0,0.3,0.4,0.29999999999999993
90,0.5,0.3,0.2,0.0
91,0.5,0.3,0.2,0.0
92,0.5,0.3,0.2,0.0
93,0.5,0.3,0.2,0.0
94,0.5,0.3,0.2,0.0
95,0.5,0.3,0.2,0.0
96,0.5,0.3,0.2,0.0
97,0.5,0.3,0.2,0.0
98,0.5,0.3,0.2,0.0
99,0.5,0.3,0.2,0.0
100,0.5,0.3,0.2,0.0
101,0.5,0.3,0.2,0.0
102,0.5,0.3,0.2,0.0
103,0.5,0.3,0.2,0.0
104,0.5,0.3,0.2,0.0
105,0.5,0.3,0.2,0.0
106,0.5,0.3,0.2,0.0
107,0.5,0.3,0.2,0.0
108,0.5,0.3,0.2,0.0
109,0.5,0.3,0.2,0.0
110,0.5,0.3,0.2,0.0
111,0.5,0.3,0.2,0.0
112,0.5,0.3,0.2,0.0
113,0.5,0.3,0.2,0.0
114,0.5,0.3,0.2,0.0
115,0.5,0.3,0.2,0.0
116,0.5,0.3,0.2,0.0
117,0.5,0.3,0.2,0.0
118,0.5,0.3,0.2,0.0
119,0.5,0.3,0.2,0.0
